slice_variable,slice,n,positive_rate,AUC,Target,Overall_AUC,Delta_vs_overall
Age,Young (18-35),55,0.473,0.8528,AccumulationInvestment,0.867,-0.0142
Age,Mid (36-55),431,0.538,0.8774,AccumulationInvestment,0.867,0.0104
Age,Senior (55+),514,0.496,0.8512,AccumulationInvestment,0.867,-0.0158
Gender,Gender=0,490,0.543,0.8646,AccumulationInvestment,0.867,-0.0024
Gender,Gender=1,510,0.484,0.8726,AccumulationInvestment,0.867,0.0056
Age,Young (18-35),54,0.222,0.5496,IncomeInvestment,0.761,-0.2114
Age,Mid (36-55),456,0.285,0.6024,IncomeInvestment,0.761,-0.1586
Age,Senior (55+),490,0.494,0.8465,IncomeInvestment,0.761,0.0855
Gender,Gender=0,513,0.384,0.7556,IncomeInvestment,0.761,-0.0054
Gender,Gender=1,487,0.384,0.7664,IncomeInvestment,0.761,0.0054
